time,x,y,z,yaw,platform,trajectory,traj_double,traj_short,traj_spin,lookahead_time,controller,traj_time,ref_time,comp_time,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_p,cbf_v_q,cbf_v_r,cbf_v_throttle
10.004847764968872,0.10279133,-0.015109391,-2.8619142,0.008025519736392258,SIM,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,nr,1.6689300537109375e-06,1.2000016689300537,0.6892611980438232,-0.005174167,0.05436545,-0.07478549,1.3690957,0.99802685,-3.0,0.0,0.9160481,0.07890227,0.0,-0.0151159,-0.0026593276,0.022313494,0.7426787080358989,0.2309855686881018,-0.334994848412974,-0.005036763541812349,0.0,0.0,0.0,0.0
10.804769515991211,0.11831619,0.08801865,-2.9067469,-0.021756924550540294,nan,nan,nan,nan,nan,nan,nan,0.7997970581054688,1.9997970581054687,0.00035381317138671875,-0.07731111,0.022674434,-0.06328825,1.9020342,0.58799154,-3.0,0.0,0.3884746,-1.0164523,0.0,0.03563196,-0.20895766,0.06017363,0.7692138189122816,0.21840451510416145,-0.7563221470924569,0.10455279460148227,0.0,0.0,0.0,0.0
10.904482126235962,0.115205444,0.101298995,-2.9154825,-0.023528860450233956,nan,nan,nan,nan,nan,nan,nan,0.899498701095581,2.0994987010955812,0.00036597251892089844,-0.06940764,0.01755369,-0.094648406,1.9370096,0.48230562,-3.0,0.0,0.31289628,-1.1008179,0.0,0.024589732,-0.16535315,0.07302431,0.7665754598603479,0.17265317636772784,-0.720437772854389,0.08358809288953312,0.0,0.0,0.0,0.0
11.004529237747192,0.1138599,0.1144041,-2.9284208,-0.02411100173352968,nan,nan,nan,nan,nan,nan,nan,0.9995615482330322,2.1995615482330324,0.0003807544708251953,-0.041629564,0.015515175,-0.13190854,1.9644712,0.3686368,-3.0,0.0,0.23581035,-1.1681365,0.0,0.01752875,-0.20930904,0.08509995,0.7625641459791552,0.12429245587579987,-0.6752987762590535,0.06144282686980083,0.0,0.0,0.0,0.0
11.104554176330566,0.11594862,0.12575328,-2.9441493,-0.02296515683643484,nan,nan,nan,nan,nan,nan,nan,1.0995783805847168,2.299578380584717,0.00036072731018066406,0.00026628765,0.013880524,-0.16862226,1.9841629,0.24920303,-3.0,0.0,0.15782866,-1.2169918,0.0,0.045790486,-0.50252616,0.09114914,0.7583445058776843,0.07653589991370337,-0.6290438229514399,0.03996672817020905,0.0,0.0,0.0,0.0
11.206080675125122,0.124551855,0.13691327,-2.967901,-0.01953004812461052,nan,nan,nan,nan,nan,nan,nan,1.201103925704956,2.4011039257049562,0.00035190582275390625,0.0913877,0.013969106,-0.23607074,1.9961401,0.12395682,-3.0,0.0,0.07803497,-1.2469454,0.0,0.058051124,-0.5561565,0.086894535,0.7486202679445998,0.009514650891240378,-0.4572923823498511,0.01648570901174688,0.0,0.0,0.0,0.0
11.305361270904541,0.14404562,0.14538345,-2.9952993,-0.014448240257197896,nan,nan,nan,nan,nan,nan,nan,1.3003742694854736,2.500374269485474,0.00033211708068847656,0.22706199,0.01608229,-0.27020708,2.0,-0.0004703209,-3.0,0.0,-0.00029551133,-1.256637,0.0,-0.009955273,-0.37704423,0.07529492,0.7403428122882019,-0.05559980990070064,-0.27332188613480257,0.003463855689560881,0.0,0.0,0.0,0.0
11.40481448173523,0.18306239,0.15125002,-3.0274985,-0.006297601123390734,nan,nan,nan,nan,nan,nan,nan,1.3998327255249023,2.5998327255249025,0.00031185150146484375,0.40968534,0.013789541,-0.28336987,1.9960667,-0.12512468,-3.0,0.0,-0.07877308,-1.2467612,0.0,-0.08187251,-0.18868235,0.060146857,0.7344264258725643,-0.10380562691822745,-0.11915719526355559,-0.000353700296047651,0.0,0.0,0.0,0.0
11.505045890808105,0.23818433,0.15207642,-3.0575764,0.0020987712965002195,nan,nan,nan,nan,nan,nan,nan,1.50018310546875,2.70018310546875,0.00051116943359375,0.5938578,0.0013417728,-0.2795073,1.9842006,-0.24891275,-3.0,0.0,-0.15764181,-1.2170856,0.0,-0.12575404,-0.025353007,0.046327423,0.7295590429027354,-0.12920212754137336,0.035658356282373786,0.0027713254287859914,0.0,0.0,0.0,0.0
11.605034351348877,0.31876016,0.14529036,-3.0885625,0.006544248620173845,nan,nan,nan,nan,nan,nan,nan,1.6001720428466797,2.80017204284668,0.0005483627319335938,0.79215413,-0.029721621,-0.2644594,1.9645339,-0.36832556,-3.0,0.0,-0.23560373,-1.1682916,0.0,-0.14666204,0.13189052,0.034660798,0.7266098994182963,-0.1322218450327982,0.15787710020760776,0.011089745918635534,0.0,0.0,0.0,0.0
11.704693078994751,0.41069317,0.12890707,-3.1147969,-0.001919542814259198,nan,nan,nan,nan,nan,nan,nan,1.699723720550537,2.8997237205505373,0.0003104209899902344,0.9593713,-0.08300429,-0.24618162,1.9372526,-0.4814494,-3.0,0.0,-0.31230164,-1.1014096,0.0,-0.13956821,0.24110223,0.0291298,0.725022531935356,-0.11245341406807753,0.2497876571742833,0.02535706672344957,0.0,0.0,0.0,0.0
