Trajectory,Implementation,Samples,n,Mean [µs],Std [µs],Min [µs],Max [µs],1/Mean [kHz]
Circle Horz 2x,JAX,(all),300,315.46274820958496,393.2160513457132,226.4976501464,6999.2542266845,3.1699463904233376
Circle Horz 2x,JAX,(excl. 1st),299,293.1089305558228,68.75116262736194,226.4976501464,625.3719329833,3.4117008925783976
Circle Horz 2x,C++,(all),300,45.37855666666666,9.576572347132092,26.804,79.187,22.036840160995283
Circle Horz 2x,C++,(excl. 1st),299,45.35995317725752,9.587195456228118,26.804,79.187,22.045878135989305
