time,x,y,z,yaw,platform,controller,trajectory,traj_double,lookahead_time,traj_time,comp_time,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input
10.008350372314453,0.0035144738,-0.0018318904,-2.867018,-0.0003857516706536104,SIM,ff_f8_pfb,F8_CONTRACTION,NormSpd,0.0,1.1920928955078125e-06,0.02173137664794922,0.003967878,0.012430019,-0.06723196,2.232235799199192e-13,2.232235799199192e-13,-3.0,0.0,3.7450703871400037e-07,3.7450703871400037e-07,0.0,-0.002768866,-0.00012038636,0.00033586897,0.7378013835355427,1.780775455108342e-14,-1.8192525114637708e-14,1.326420221818605e-16
10.108269214630127,0.003578971,0.0020925612,-2.8725195,-0.00038056092991072845,nan,nan,nan,nan,nan,0.09994864463806152,0.0011038780212402344,0.005243782,0.010052241,-0.07056834,0.001569183194078505,0.0015691827284172177,-3.0,0.0,0.03139978274703026,0.03139975294470787,0.0,-0.0027610552,0.0010782792,-0.00019574334,0.7378054981853546,0.00012271333576630624,-0.00012648691235460352,8.785905794310916e-07
10.208247184753418,0.0042760456,0.005334598,-2.879782,-0.0003593686484156521,nan,nan,nan,nan,nan,0.1998906135559082,0.0009491443634033203,0.0070000305,0.00640564,-0.087257735,0.00627630390226841,0.006276273168623447,-3.0,0.0,0.0627971813082695,0.06279624998569489,0.0,-0.0013423488,0.00051311945,-0.00075541553,0.7378168615633045,0.00048566100108348017,-0.0005056715124904296,3.1763402081202293e-06
10.30816912651062,0.005232796,0.0067709596,-2.8885572,-0.0003521097544070313,nan,nan,nan,nan,nan,0.2998168468475342,0.0008757114410400391,0.008808923,0.0019385474,-0.106289946,0.014119792729616165,0.014119441621005535,-3.0,0.0,0.094187892973423,0.09418085217475891,0.0,-0.00023544408,-0.00024985307,0.0011550947,0.7378337323653867,0.0010962371584007057,-0.0011454913909792943,6.785683268647515e-06
10.40845537185669,0.006663637,0.0070933052,-2.9011934,-0.00033384530129245446,nan,nan,nan,nan,nan,0.4001607894897461,0.0011394023895263672,0.010592215,-0.0029901147,-0.12776151,0.025152288377285004,0.025150299072265625,-3.0,0.0,0.12570427358150482,0.12567445635795593,0.0,0.00024669137,0.00059867016,-0.0002907615,0.7378532655774596,0.0019767112455761934,-0.00206704861363752,1.11489818988657e-05
10.508909225463867,0.007585043,0.006447039,-2.9151683,-0.00032318409938785376,nan,nan,nan,nan,nan,0.5007681846618652,0.0010433197021484375,0.011739577,-0.0077323113,-0.14771171,0.03938812017440796,0.039380479604005814,-3.0,0.0,0.15729045867919922,0.1571989357471466,0.0,0.0029087549,-0.0023336187,5.837521e-05,0.7378731081623253,0.0031571087648572553,-0.003304571575490131,1.664685134313179e-05
10.608463525772095,0.008207024,0.004180025,-2.9325106,-0.0003587712408112185,nan,nan,nan,nan,nan,0.600193977355957,0.0015621185302734375,0.012900257,-0.01322251,-0.16938357,0.056577689945697784,0.05655504763126373,-3.0,0.0,0.18848103284835815,0.188254714012146,0.0,0.0031981051,-0.0020702872,-0.0006011269,0.7378883987008482,0.004637275633105596,-0.004850177610689111,2.8084567914651894e-05
10.710917472839355,0.008236426,0.00073493784,-2.9505935,-0.00044935536634541936,nan,nan,nan,nan,nan,0.7029874324798584,0.002251148223876953,0.013543455,-0.01850839,-0.1890342,0.0776078999042511,0.07754945009946823,-3.0,0.0,0.22068367898464203,0.22018492221832275,0.0,0.0050529446,-0.004115294,-0.0009563777,0.7378985003331441,0.006524727169348527,-0.006844459221407977,5.1717668582187293e-05
10.812963962554932,0.008381277,-0.00383309,-2.9730246,-0.0005594293841123643,nan,nan,nan,nan,nan,0.8047316074371338,0.001377105712890625,0.014433811,-0.023712117,-0.21065514,0.10167980939149857,0.10154832154512405,-3.0,0.0,0.2524869441986084,0.2515069842338562,0.0,0.00758886,-0.007626209,-0.00051102374,0.73789423847852,0.008740138291880407,-0.009219371714700407,9.022389469634841e-05
10.909219026565552,0.008531465,-0.008466866,-2.9965315,-0.0006443296220541832,nan,nan,nan,nan,nan,0.9010963439941406,0.001718759536743164,0.016050851,-0.027737712,-0.23106767,0.12745824456214905,0.12719914317131042,-3.0,0.0,0.2825123071670532,0.2807883024215698,0.0,0.011706296,-0.01066573,-0.0008525482,0.7378742193841159,0.011138789592083465,-0.011837634408993917,0.00013776731481918522
11.008183240890503,0.008507967,-0.013790608,-3.024694,-0.0007307611797624218,nan,nan,nan,nan,nan,0.9998481273651123,0.0010595321655273438,0.018565929,-0.031134682,-0.2532337,0.15687063336372375,0.1563873440027237,-3.0,0.0,0.31314384937286377,0.31024667620658875,0.0,0.013212758,-0.012814531,-0.0003641693,0.7378291458093543,0.013830105554320338,-0.014912784233429831,0.00020530599339726134
11.108696699142456,0.008845344,-0.01888604,-3.053195,-0.0008024656159547642,nan,nan,nan,nan,nan,1.1005003452301025,0.0016908645629882812,0.022165691,-0.03310009,-0.27379477,0.189952552318573,0.18909388780593872,-3.0,0.0,0.3441694974899292,0.3394950330257416,0.0,0.016470557,-0.01468234,-0.0006729928,0.7377614274216197,0.016764151141752226,-0.018468475087956897,0.0002912708153724149
11.208117723464966,0.009735381,-0.02472904,-3.0861647,-0.0008784338866702061,nan,nan,nan,nan,nan,1.1997463703155518,0.0009546279907226562,0.027549608,-0.03357197,-0.29594606,0.22561778128147125,0.22417758405208588,-3.0,0.0,0.37450549006462097,0.36731839179992676,0.0,0.019954244,-0.018409252,-0.0003988152,0.7376563299083192,0.019676297831964024,-0.02226361122454378,0.0004080683408743301
11.308105945587158,0.01147726,-0.03022082,-3.1182132,-0.0009264088931679169,nan,nan,nan,nan,nan,1.2997462749481201,0.0009248256683349609,0.034443844,-0.032626048,-0.315988,0.2645830810070038,0.2622576057910919,-3.0,0.0,0.40473848581314087,0.3940350115299225,0.0,0.021770302,-0.022875283,-6.4324406e-05,0.7375235092576474,0.022605184593013507,-0.026434758889317997,0.0005431979074227509
11.408097982406616,0.015352427,-0.03573612,-3.1545696,-0.0009612045641994435,nan,nan,nan,nan,nan,1.3997321128845215,0.000990152359008789,0.04514742,-0.028990345,-0.33744895,0.3065451383590698,0.3029229938983917,-3.0,0.0,0.43454283475875854,0.41907769441604614,0.0,0.023980983,-0.026819004,-0.00025544793,0.7373424010915768,0.025219959194116428,-0.030481368375026786,0.0007077420440380791
11.508114099502563,0.021097226,-0.0399758,-3.1895251,-0.0010004408907984003,nan,nan,nan,nan,nan,1.4997501373291016,0.0009894371032714844,0.05793346,-0.022938177,-0.35647154,0.35147666931152344,0.3460066020488739,-3.0,0.0,0.4638276994228363,0.4420577883720398,0.0,0.027466025,-0.033162832,-0.0018148317,0.7371294017362814,0.02746433135391553,-0.03458515123155018,0.0009001156500831174
11.608193159103394,0.029518262,-0.043337233,-3.2289915,-0.0010258062080757187,nan,nan,nan,nan,nan,1.5998895168304443,0.0010013580322265625,0.07565679,-0.013280949,-0.37662655,0.39936554431915283,0.3913225531578064,-3.0,0.0,0.49249765276908875,0.4625379741191864,0.0,0.029421942,-0.036693342,-0.0004637301,0.7368571556150001,0.0288454055608364,-0.038185577594779786,0.0011214682079572
11.708077907562256,0.03985967,-0.044889737,-3.2668946,-0.0010679335966441439,nan,nan,nan,nan,nan,1.6997997760772705,0.0011014938354492188,0.09619737,-0.0010385303,-0.3943338,0.44996798038482666,0.43843191862106323,-3.0,0.0,0.5203171968460083,0.4799472391605377,0.0,0.02896348,-0.0394377,0.0004861331,0.7365502895225162,0.02933087950297925,-0.04165065184785246,0.0013742998124162556
